ID_Expediente,CURP,RFC,Nombre,Apellido_Paterno,Apellido_Materno,Fecha_Nacimiento,Edad,Sexo_Biologico,Estado,Latitud,Longitud,Afiliacion_Salud,Numero_Seguridad_Social,Tipo_Servicio_Ingreso,Antecedentes_Familiares_Diabetes,Antecedentes_Familiares_Hipertension,Antecedentes_Familiares_Cancer,Antecedentes_Personales_Tabaquismo,Antecedentes_Personales_Alcoholismo,Alergias_Declaradas,Clasificacion_Triage,Presion_Sistolica_mmHg,Presion_Diastolica_mmHg,Frecuencia_Cardiaca_lpm,Frecuencia_Respiratoria_rpm,Temperatura_C,Saturacion_Oxigeno_SpO2,Estatura_cm,Peso_kg,IMC,Estado_Nutricional,CIE10_Diagnostico,Diagnostico_Principal,Sintoma_Principal,Tratamiento_Farmacologico,Medico_Tratante_Cedula,Fecha_Hora_Apertura_Expediente
EXP-2026-00478,DARF500901HPLÍDR07,DARF500901Q73,Fernando Alejandro,Díaz,Rodríguez,1950-09-01,75,MASCULINO,Puebla,18.595562,-96.985319,IMSS,50-19-68-9813,Consulta General,No,No,No,Sí,No,Ninguna,Amarillo / Valorable,121,81,93,21,39.3,99,159.6,71.7,28.1,Sobrepeso,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,7856401,2026-03-20 06:38:04
EXP-2026-00479,GOJA730106HPLNML09,GOJA730106K38,Alejandro José,González,Jiménez,1973-01-06,53,MASCULINO,Puebla,20.562628,-97.271549,IMSS,65-58-62-5052,Urgencias,No,No,No,No,No,Medio de Contraste Yodado,Amarillo / Valorable,119,76,105,21,37.8,98,158.2,62.1,24.8,Normal,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,7739161,2026-05-11 20:21:04
EXP-2026-00480,GOLE011115MPLNÓL01,GOLE011115X77,Elena Luisa,González,López,2001-11-15,24,FEMENINO,Puebla,19.800821,-98.299994,IMSS,53-21-51-3295,Urgencias,No,No,Sí,Sí,No,Ninguna,Amarillo / Valorable,119,81,103,19,38.8,98,155.1,69.8,29.0,Sobrepeso,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,5365053,2026-02-15 03:18:04
EXP-2026-00481,GAPJ900517MPLRÉN08,GAPJ900517B64,Juana,García,Pérez,1990-05-17,36,FEMENINO,Puebla,20.200574,-97.336691,Particular,32-53-71-3255,Consulta General,Sí,Sí,No,Sí,Sí,Ninguna,Amarillo / Valorable,157,96,71,15,36.5,97,151.2,59.5,26.0,Sobrepeso,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,7641459,2026-03-29 12:36:04
EXP-2026-00482,GUCR800615HPLTRF07,GUCR800615O13,Rafael,Gutiérrez,Cruz,1980-06-15,46,MASCULINO,Puebla,20.402618,-97.889369,IMSS,95-61-14-8738,Medicina Interna,Sí,No,Sí,No,No,Penicilina,Verde / No Urgente,119,81,68,17,36.7,98,158.3,87.8,35.0,Obesidad,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,5776886,2026-04-20 01:44:04
EXP-2026-00483,PECL071220MPLÉSS08,PECL071220C44,Luisa,Pérez,Castro,2007-12-20,18,FEMENINO,Puebla,19.11787,-97.832247,ISSSTEP,43-67-22-7530,Pediatría,Sí,Sí,Sí,Sí,No,Ninguna,Verde / No Urgente,121,77,75,17,36.4,99,154.5,93.9,39.3,Obesidad,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,6749793,2026-01-20 10:55:04
EXP-2026-00484,SELJ000814MPLÁÓN03,SELJ000814M11,Juana Ana,Sánchez,López,2000-08-14,25,FEMENINO,Puebla,19.77378,-98.117126,IMSS,86-52-64-9007,Consulta General,Sí,No,Sí,Sí,Sí,Medio de Contraste Yodado,Verde / No Urgente,121,76,72,18,36.2,99,151.8,63.0,27.3,Sobrepeso,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,9211733,2026-02-14 10:18:04
EXP-2026-00485,LEFT850903MPLÓLR07,LEFT850903Z26,Teresa Teresa,López,Flores,1985-09-03,40,FEMENINO,Puebla,19.668669,-97.776891,Particular,80-15-22-3234,Medicina Interna,No,No,No,No,Sí,Penicilina,Rojo / Emergencia,122,78,109,24,36.2,86,152.7,55.0,23.6,Normal,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,9799919,2026-02-13 06:35:04
EXP-2026-00486,HEGJ350713HPLRRN05,HEGJ350713592,Juan Javier,Hernández,García,1935-07-13,91,MASCULINO,Puebla,19.973532,-98.135692,Particular,75-81-65-7694,Consulta General,No,No,No,Sí,Sí,Ninguna,Amarillo / Valorable,117,79,107,19,38.5,98,176.0,77.3,25.0,Sobrepeso,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,3585945,2026-06-25 09:15:04
EXP-2026-00487,LEME750109MPLÓRL08,LEME750109G62,Elena Patricia,López,Martínez,1975-01-09,51,FEMENINO,Puebla,19.352655,-97.571702,Particular,81-25-37-2641,Pediatría,No,Sí,No,No,No,Sulfonamidas,Amarillo / Valorable,118,76,112,19,37.9,96,158.7,61.0,24.2,Normal,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,4978824,2026-02-16 18:04:04
EXP-2026-00488,PERJ231209HPLÉDN08,PERJ231209L80,Juan Luis,Pérez,Rodríguez,2023-12-09,2,MASCULINO,Puebla,18.862096,-97.424788,Particular,45-67-29-6563,Pediatría,No,No,Sí,No,No,Ninguna,Amarillo / Valorable,118,79,89,19,39.0,98,109.2,18.4,15.4,Desnutrición / Bajo Peso,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,3008351,2026-03-13 13:26:04
EXP-2026-00489,REPM620423MPLYÉR01,REPM620423J92,María,Reyes,Pérez,1962-04-23,64,FEMENINO,Puebla,18.633708,-98.015799,ISSSTE,30-60-87-2009,Medicina Interna,No,Sí,No,No,No,Ninguna,Verde / No Urgente,122,76,77,14,36.3,99,153.7,66.0,27.9,Sobrepeso,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,1920936,2026-02-06 10:04:04
EXP-2026-00490,HEGJ670205HPLRNS00,HEGJ670205U18,Jesús Luis,Hernández,González,1967-02-05,59,MASCULINO,Puebla,18.846825,-97.852913,ISSSTE,39-52-46-8144,Urgencias,No,Sí,No,No,Sí,Ninguna,Amarillo / Valorable,117,81,101,20,38.8,96,152.7,66.4,28.5,Sobrepeso,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,6225082,2026-04-18 19:25:04
EXP-2026-00491,TOJL871217MPLRMT01,TOJL871217558,Leticia Luisa,Torres,Jiménez,1987-12-17,38,FEMENINO,Puebla,18.733464,-98.282993,ISSSTEP,18-28-99-6299,Urgencias,No,No,No,No,Sí,Sulfonamidas,Amarillo / Valorable,120,79,99,19,37.9,98,151.4,75.8,33.1,Obesidad,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,9485323,2026-03-30 10:56:04
EXP-2026-00492,RARA050709MPLMYN04,RARA050709598,Ana,Ramírez,Reyes,2005-07-09,21,FEMENINO,Puebla,18.493516,-97.201941,Particular,48-19-79-5935,Consulta General,No,No,No,No,Sí,Ninguna,Naranja / Urgencia,117,76,107,23,36.3,90,153.3,71.1,30.3,Obesidad,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,8178126,2026-06-02 13:02:04
EXP-2026-00493,SEMM650123HPLÁRG09,SEMM650123D41,Miguel Fernando,Sánchez,Morales,1965-01-23,61,MASCULINO,Puebla,19.022748,-97.912267,ISSSTEP,82-25-65-5380,Medicina Interna,Sí,No,No,No,No,Penicilina,Naranja / Urgencia,169,95,73,14,36.3,98,177.6,75.3,23.9,Normal,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,9601877,2026-04-14 11:55:04
EXP-2026-00494,FOMR980928MPLLRS07,FOMR980928F50,Rosa Guadalupe,Flores,Morales,1998-09-28,27,FEMENINO,Puebla,20.627068,-97.364297,IMSS-Bienestar,70-34-90-9055,Pediatría,No,No,Sí,No,Sí,Penicilina,Verde / No Urgente,121,77,72,17,36.5,98,152.7,54.3,23.3,Normal,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,2401764,2026-07-12 04:57:04
EXP-2026-00495,VURP020204HPLÁYD01,VURP020204096,Pedro Alejandro,Vázquez,Reyes,2002-02-04,24,MASCULINO,Puebla,19.805401,-98.119361,ISSSTE,72-78-29-1302,Pediatría,No,Sí,No,No,No,Ninguna,Verde / No Urgente,120,76,74,17,36.3,98,166.2,93.8,34.0,Obesidad,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,7809497,2026-06-17 05:12:04
EXP-2026-00496,FOMA670821MPLLRN01,FOMA670821E15,Ana,Flores,Martínez,1967-08-21,58,FEMENINO,Puebla,18.107941,-97.703642,Particular,93-91-53-1688,Consulta General,Sí,No,No,No,No,Sulfonamidas,Verde / No Urgente,117,77,69,15,36.6,99,161.9,62.1,23.7,Normal,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,3784367,2026-02-01 04:34:04
EXP-2026-00497,HEVF720303HPLRÁR07,HEVF720303U69,Francisco Alejandro,Hernández,Vázquez,1972-03-03,54,MASCULINO,Puebla,18.838444,-97.626622,Particular,18-24-16-5360,Pediatría,No,Sí,No,No,Sí,Ninguna,Amarillo / Valorable,117,79,104,20,38.3,99,169.6,77.1,26.8,Sobrepeso,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,7303378,2026-07-14 23:12:04
EXP-2026-00498,GORC110820HPLNMR03,GORC110820K73,Carlos,González,Ramírez,2011-08-20,14,MASCULINO,Puebla,18.860184,-97.236077,Particular,60-70-48-4072,Urgencias,No,No,No,No,No,AINES (Aspirina/Ibuprofeno),Verde / No Urgente,121,78,68,17,36.5,96,169.4,68.6,23.9,Normal,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,3176331,2026-01-27 13:38:04
EXP-2026-00499,VUFT520710MPLÁLR01,VUFT520710A55,Teresa Juana,Vázquez,Flores,1952-07-10,74,FEMENINO,Puebla,19.429079,-97.197572,IMSS,99-70-77-7488,Urgencias,Sí,No,No,No,No,AINES (Aspirina/Ibuprofeno),Naranja / Urgencia,122,81,112,26,36.4,89,157.9,73.1,29.3,Sobrepeso,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,1586154,2026-02-21 20:30:04
EXP-2026-00500,HECL861130MPLRRT04,HECL861130D37,Leticia Ana,Hernández,Cruz,1986-11-30,39,FEMENINO,Puebla,19.570149,-97.244032,ISSSTE,87-99-51-2193,Urgencias,No,Sí,No,No,No,Sulfonamidas,Amarillo / Valorable,120,77,90,19,38.9,96,158.5,59.0,23.5,Normal,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,6828956,2026-07-11 23:38:04
EXP-2026-00501,JIDM490910MPLMÍR05,JIDM490910957,María Elena,Jiménez,Díaz,1949-09-10,76,FEMENINO,Puebla,18.071289,-97.07023,Particular,47-38-83-1714,Medicina Interna,No,Sí,No,Sí,No,Ninguna,Verde / No Urgente,116,80,73,15,36.4,97,160.4,79.5,30.9,Obesidad,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,4694683,2026-06-25 09:35:04
EXP-2026-00502,DASA970625HPLÍÁL01,DASA970625M48,Alejandro Juan,Díaz,Sánchez,1997-06-25,29,MASCULINO,Puebla,18.01598,-98.018166,IMSS,79-87-27-2150,Medicina Interna,No,Sí,No,Sí,No,Penicilina,Amarillo / Valorable,118,78,106,22,38.9,98,169.8,75.0,26.0,Sobrepeso,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,8794097,2026-03-02 03:46:04
EXP-2026-00503,VUGE580521MPLÁÓL05,VUGE580521M72,Elena Elena,Vázquez,Gómez,1958-05-21,68,FEMENINO,Puebla,20.47549,-97.998985,IMSS,49-13-34-9859,Urgencias,No,Sí,No,Sí,No,Ninguna,Verde / No Urgente,119,80,72,16,36.6,98,153.7,63.2,26.8,Sobrepeso,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,6006899,2026-02-04 06:34:04
EXP-2026-00504,GOMJ530516MPLNRN08,GOMJ530516144,Juana,González,Martínez,1953-05-16,73,FEMENINO,Puebla,19.635757,-98.35969,ISSSTE,98-11-65-6876,Consulta General,Sí,Sí,No,No,No,AINES (Aspirina/Ibuprofeno),Naranja / Urgencia,117,82,110,27,36.2,92,160.4,73.1,28.4,Sobrepeso,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,9070647,2026-02-14 19:14:04
EXP-2026-00505,GARA911025MPLRMN03,GARA911025N83,Ana Guadalupe,García,Ramírez,1991-10-25,34,FEMENINO,Puebla,18.29051,-98.317481,IMSS,30-26-47-6836,Medicina Interna,No,No,Sí,Sí,No,Ninguna,Amarillo / Valorable,120,81,90,19,38.4,99,157.2,94.0,38.0,Obesidad,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,1573445,2026-06-21 16:00:04
EXP-2026-00506,GAMR881026HPLRRC06,GAMR881026X58,Ricardo Manuel,García,Morales,1988-10-26,37,MASCULINO,Puebla,20.463561,-97.6301,ISSSTEP,17-78-29-7163,Medicina Interna,Sí,No,Sí,Sí,Sí,Ninguna,Verde / No Urgente,119,78,74,17,36.4,98,162.6,72.2,27.3,Sobrepeso,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,2920738,2026-06-20 00:56:04
EXP-2026-00507,DAMF661231HPLÍRR09,DAMF661231710,Fernando Luis,Díaz,Martínez,1966-12-31,59,MASCULINO,Puebla,20.069317,-96.900234,IMSS-Bienestar,61-77-21-7291,Pediatría,No,Sí,Sí,No,No,Medio de Contraste Yodado,Amarillo / Valorable,118,78,109,18,38.3,97,169.2,95.8,33.5,Obesidad,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,9025122,2026-02-07 19:24:04
EXP-2026-00508,REGA610913MPLYÓN05,REGA610913W30,Ana Leticia,Reyes,Gómez,1961-09-13,64,FEMENINO,Puebla,19.528561,-98.368145,ISSSTEP,24-65-25-1911,Urgencias,No,No,No,No,No,Medio de Contraste Yodado,Rojo / Emergencia,120,80,99,28,36.5,87,146.6,58.2,27.1,Sobrepeso,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,7540088,2026-01-29 14:06:04
EXP-2026-00509,PEGR790331HPLÉÓC01,PEGR790331A21,Ricardo,Pérez,Gómez,1979-03-31,47,MASCULINO,Puebla,20.495847,-98.116018,ISSSTEP,28-92-55-6185,Pediatría,Sí,Sí,Sí,No,No,Penicilina,Verde / No Urgente,122,80,71,14,36.6,96,171.5,74.0,25.2,Sobrepeso,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,2618061,2026-04-09 14:33:04
EXP-2026-00510,MORC300626MPLRYR08,MORC300626879,Carmen Leticia,Morales,Reyes,1930-06-26,96,FEMENINO,Puebla,19.310666,-98.157201,IMSS,51-75-62-8258,Urgencias,No,Sí,Sí,No,Sí,Ninguna,Amarillo / Valorable,117,82,108,19,38.1,98,148.3,69.1,31.4,Obesidad,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,6965189,2026-01-30 18:17:04
EXP-2026-00511,FOTA651218HPLLRL05,FOTA651218Y27,Alejandro,Flores,Torres,1965-12-18,60,MASCULINO,Puebla,18.845597,-96.927327,ISSSTE,99-64-87-1188,Urgencias,No,No,No,No,No,AINES (Aspirina/Ibuprofeno),Verde / No Urgente,121,81,75,18,36.4,99,171.8,70.6,23.9,Normal,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,2008916,2026-05-06 05:32:04
EXP-2026-00512,SECP460730MPLÁST05,SECP460730050,Patricia,Sánchez,Castro,1946-07-30,80,FEMENINO,Puebla,18.858074,-96.978292,IMSS,80-26-55-6401,Medicina Interna,No,No,No,No,No,Ninguna,Amarillo / Valorable,120,81,112,21,37.8,98,151.8,87.3,37.9,Obesidad,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,5080574,2026-05-15 10:09:04
EXP-2026-00513,JIRJ970319HPLMYR03,JIRJ970319T23,Jorge Jorge,Jiménez,Reyes,1997-03-19,29,MASCULINO,Puebla,18.74125,-98.010309,ISSSTE,60-78-10-6558,Consulta General,No,Sí,Sí,No,No,Penicilina,Naranja / Urgencia,164,93,77,16,36.7,98,171.5,88.4,30.1,Obesidad,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,7224039,2026-01-22 15:49:04
EXP-2026-00514,GEDJ931208HPLÓÍN04,GEDJ931208C62,Juan Ricardo,Gómez,Díaz,1993-12-08,32,MASCULINO,Puebla,18.3684,-97.113934,IMSS-Bienestar,64-52-46-5056,Medicina Interna,No,Sí,No,No,No,Ninguna,Amarillo / Valorable,119,81,111,18,37.8,97,159.5,56.4,22.2,Normal,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,6289399,2026-07-16 11:58:04
EXP-2026-00515,VUGR880925MPLÁRS02,VUGR880925H84,Rosa Ana,Vázquez,García,1988-09-25,37,FEMENINO,Puebla,20.649944,-97.756649,ISSSTEP,73-95-53-4221,Consulta General,Sí,Sí,No,No,Sí,Ninguna,Amarillo / Valorable,150,107,76,18,36.2,96,149.7,73.4,32.8,Obesidad,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,1162219,2026-04-28 21:12:04
EXP-2026-00516,CARF561030HPLSMR00,CARF561030V61,Francisco Jesús,Castro,Ramírez,1956-10-30,69,MASCULINO,Puebla,18.07127,-97.880289,ISSSTEP,56-18-29-3027,Urgencias,No,No,Sí,Sí,No,Ninguna,Verde / No Urgente,121,76,76,16,36.3,96,161.0,82.2,31.7,Obesidad,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,3558583,2026-04-14 14:51:04
EXP-2026-00517,GEGJ780426HPLÓRS07,GEGJ780426G78,José Ricardo,Gómez,García,1978-04-26,48,MASCULINO,Puebla,18.921298,-97.259535,IMSS-Bienestar,25-54-87-1019,Consulta General,No,No,No,No,No,Ninguna,Amarillo / Valorable,122,81,93,22,38.1,99,174.8,96.2,31.5,Obesidad,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,2936407,2026-05-02 20:22:04
EXP-2026-00518,CUTM021224MPLRRR07,CUTM021224S75,María Margarita,Cruz,Torres,2002-12-24,23,FEMENINO,Puebla,18.126552,-97.547696,IMSS-Bienestar,34-98-49-6889,Medicina Interna,No,Sí,No,No,Sí,Ninguna,Verde / No Urgente,122,80,77,18,36.2,97,157.9,62.6,25.1,Sobrepeso,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,4801436,2026-03-07 04:15:04
EXP-2026-00519,PERL361129HPLÉDS02,PERL361129Q87,Luis Alejandro,Pérez,Rodríguez,1936-11-29,89,MASCULINO,Puebla,20.588819,-97.4287,ISSSTEP,33-38-84-9129,Urgencias,No,No,No,No,Sí,Penicilina,Amarillo / Valorable,142,92,78,16,36.3,96,163.1,75.4,28.3,Sobrepeso,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,3751766,2026-05-27 14:19:04
EXP-2026-00520,GUST770709MPLTÁR09,GUST770709U23,Teresa Verónica,Gutiérrez,Sánchez,1977-07-09,49,FEMENINO,Puebla,18.18204,-98.115357,Particular,87-11-87-3615,Urgencias,Sí,No,No,No,No,AINES (Aspirina/Ibuprofeno),Naranja / Urgencia,166,95,78,17,36.6,97,162.7,67.0,25.3,Sobrepeso,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,7233486,2026-02-19 18:04:04
EXP-2026-00521,MOLJ920815HPLRÓN02,MOLJ920815374,Juan Rafael,Morales,López,1992-08-15,33,MASCULINO,Puebla,19.041249,-96.988503,Particular,98-70-19-9573,Pediatría,No,No,Sí,No,Sí,Penicilina,Verde / No Urgente,116,79,76,17,36.7,96,166.6,93.1,33.5,Obesidad,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,7960929,2026-04-12 06:16:04
EXP-2026-00522,RAGA170622MPLMRN09,RAGA170622I23,Ana Leticia,Ramírez,García,2017-06-22,9,FEMENINO,Puebla,18.797578,-97.007293,IMSS,19-79-88-5203,Pediatría,Sí,Sí,Sí,No,No,AINES (Aspirina/Ibuprofeno),Verde / No Urgente,118,79,68,18,36.4,98,120.7,25.8,17.7,Desnutrición / Bajo Peso,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,7314815,2026-06-09 17:54:04
EXP-2026-00523,LEGJ860907HPLÓNS01,LEGJ860907194,Jesús Jorge,López,González,1986-09-07,39,MASCULINO,Puebla,19.985944,-97.187829,IMSS-Bienestar,92-22-32-3363,Urgencias,Sí,No,No,No,Sí,Sulfonamidas,Amarillo / Valorable,146,99,69,16,36.2,97,162.0,57.1,21.8,Normal,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,1800353,2026-02-03 19:34:04
EXP-2026-00524,FOGG630822MPLLÓB07,FOGG630822K62,Gabriela,Flores,Gómez,1963-08-22,62,FEMENINO,Puebla,18.056981,-98.381174,IMSS,26-80-27-6690,Consulta General,Sí,Sí,No,No,Sí,Ninguna,Verde / No Urgente,117,81,78,15,36.5,99,157.6,61.3,24.7,Normal,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,2182453,2026-03-16 05:43:04
EXP-2026-00525,FOPJ491102HPLLÉV09,FOPJ491102T55,Javier Carlos,Flores,Pérez,1949-11-02,76,MASCULINO,Puebla,19.664686,-98.043491,IMSS-Bienestar,79-40-73-8929,Urgencias,Sí,No,No,No,No,Medio de Contraste Yodado,Verde / No Urgente,119,80,69,18,36.5,96,161.0,53.2,20.5,Normal,J00,Rinofaringitis Aguda,"Rinorrea hialina, odinofagia intensa y estornudos",Paracetamol 500mg cada 8 hrs VO + Loratadina 10mg cada 24 hrs VO,8924454,2026-04-29 02:28:04
EXP-2026-00526,DACL620904HPLÍSS00,DACL620904M32,Luis Jesús,Díaz,Castro,1962-09-04,63,MASCULINO,Puebla,19.230257,-98.307536,Particular,19-61-54-5803,Urgencias,Sí,No,Sí,No,No,Ninguna,Amarillo / Valorable,119,79,97,22,38.7,96,160.4,80.0,31.1,Obesidad,A09,Gastroenteritis Infecciosa,"Evacuaciones líquidas recurrentes, dolor cólico y náusea",Ciprofloxacino 500mg cada 12 hrs VO por 5 días + Loperamida si aplica,8380205,2026-02-20 12:23:04
EXP-2026-00527,GOJM030707MPLNMR07,GOJM030707J10,María Patricia,González,Jiménez,2003-07-07,23,FEMENINO,Puebla,18.98905,-97.480811,IMSS,49-12-59-8042,Consulta General,No,No,No,No,No,Ninguna,Amarillo / Valorable,154,98,74,16,36.4,97,157.5,63.2,25.5,Sobrepeso,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,2439148,2026-05-02 00:51:04
EXP-2026-00528,ROHA260303HPLDRL06,ROHA260303831,Alejandro Francisco,Rodríguez,Hernández,2026-03-03,0,MASCULINO,Puebla,20.694806,-98.131719,IMSS,64-28-93-3374,Pediatría,No,No,No,No,No,Medio de Contraste Yodado,Amarillo / Valorable,118,77,110,19,39.2,96,106.5,28.1,24.8,Normal,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,8988771,2026-04-27 03:06:04
